comment,db_key,is_disabled,parent_rule_ref,rank,tag,access_rule.match_part.match_sources.match_source_ref.type,access_rule.match_part.match_sources.match_source_ref.value,access_rule.match_part.match_destinations.match_destination_ref.type,access_rule.match_part.match_destinations.match_destination_ref.value,access_rule.match_part.match_services.match_service_ref.type,access_rule.match_part.match_services.match_service_ref.value,access_rule.action.type,access_rule.option.log_policy.closing_mode,access_rule.option.log_policy.log_level,access_rule.option.log_policy.mss_enforce,access_rule.match_part.match_services.match_service_ref.ref_key,access_rule.option.log_policy.log_compression,comment_rule.background_color,access_rule.match_part.user_match.user.class_id,access_rule.match_part.user_match.user.display_name,access_rule.match_part.user_match.user.domain,access_rule.match_part.user_match.user.ref,access_rule.match_part.user_match.auth_service.ref,access_rule.match_part.user_match.auth_service.ref_key,access_rule.vpn_action.meta_mobile_vpn,access_rule.vpn_action.type,access_rule.vpn_action.vpn_ref.ref,name,access_rule.match_part.match_sources.match_source_ref.ref_key,access_rule.option.decrypting,access_rule.option.deep_inspection,access_rule.option.log_policy.application,access_rule.option.conn_tracking,nat_rule.valid_fw_ref,nat_rule.match_part.match_sources.match_source_ref.type,nat_rule.match_part.match_sources.match_source_ref.value,nat_rule.match_part.match_destinations.match_destination_ref.type,nat_rule.match_part.match_destinations.match_destination_ref.value,nat_rule.match_part.match_services.match_service_ref.ref_key,nat_rule.match_part.match_services.match_service_ref.type,nat_rule.match_part.match_services.match_service_ref.value,nat_rule.action.type,nat_rule.option.log_policy.closing_mode,nat_rule.option.log_policy.log_level,nat_rule.option.log_policy.mss_enforce,nat_rule.option.nat_src.dynamic_nat.generate_arp,nat_rule.option.nat_src.dynamic_nat.packet_description.first_port,nat_rule.option.nat_src.dynamic_nat.packet_description.last_port,nat_rule.option.nat_src.dynamic_nat.packet_description.ne_ref
,11316,false,Access rule : insert point,445.0,2098667.11,network_element | network_element,Alexandria_R&D_Team_126    | Cairo_R&D_Team_126,network_element,network-10.53.107.0/24,service | service,3000-10000 | 30000-32768,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11309,false,Access rule : insert point,446.0,2098661.11,network_element,network-10.53.150.0/24,network_element,ANY,service | service | service,HTTP | HTTPS | tcp_service_80,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11301,false,Access rule : insert point,447.0,2098653.12,network_element | network_element | network_element | network_element,10.53.126.124 | 10.53.126.125 | 10.53.126.126 | 10.53.126.127,network_element,10.54.135.0/24,service | service | service | service | service,3128 | 5900-5999 | 8006 | 9090 | Remote Desktop,allow,true,undefined,false,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11317,false,Access rule : insert point,448.0,2098669.13,network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.126.124 | 10.53.126.125 | 10.53.126.126 | 10.53.126.127 | 10.54.126.20 | 10.54.126.24 | 10.54.126.30,network_element,network-10.53.102.0/24,service | service,3128 | 8006,discard,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11302,false,Access rule : insert point,449.0,2098654.12,network_element,10.53.105.252,network_element,Diabetic Retinopathy Production VM,service | service | service,HTTP | HTTPS | tcp_service_80,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11303,false,Access rule : insert point,450.0,2098655.12,network_element,10.53.105.252,network_element,NLP Annotation Server,service | service | service | service | service | service,10015-10016 | 9090 | 9443 | HTTP | HTTPS | tcp_service_80,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11311,false,Access rule : insert point,451.0,2098663.11,network_element,Cairo_R&D_Team_126,network_element,host-10.54.135.249,service,6443,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11312,true,Access rule : insert point,452.0,2098664.12,network_element,Cairo_R&D_Team_126,network_element | network_element | network_element,10.54.135.246 | 10.54.135.247 | 10.54.135.248,service | service,3000-10000 | 30000-32768,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11304,false,Access rule : insert point,453.0,2098656.16,network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | 10.58.202.0 | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126,network_element,NLP Annotation Server,service | service | service | service | service | service,10001 | 10015-10016 | 8000tcp | 8091 | 9000 | 9443,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11305,false,Access rule : insert point,454.0,2098657.13,network_element | network_element,AI_Wireless | alex-wireless,network_element,NLP Annotation Server,service | service | service | service | service | service | service | service | service,10001 | 10015-10016 | 8000tcp | 8091 | 9000 | 9443 | HTTP | HTTPS | SSH,allow,true,undefined,false,330 | 332 | 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
