name,interface_asn_level.db_key,interface_asn_level.nicid,interface_asn_level.storable_asn_level.auto_generated,interface_asn_level.storable_asn_level.db_key,interface_asn_level.storable_asn_level.ipaddress,interface_asn_level.storable_asn_level.ne_ref,interface_asn_level.storable_asn_level.ne_ref_key,interface_asn_level.storable_asn_level.validity
AIC-Context-New,254 | 257 | 260 | 263 | 266 | 269 | 272 | 275 | 513 | 516 | 519 | 522 | 278 | 528 | 531 | 525 | 284 | 293 | 296 | 299 | 504 | 535 | 302 | 305 | 308 | 314 | 323 | 326,2.74 | 2.101 | 2.102 | 2.103 | 2.104 | 2.105 | 2.106 | 2.107 | 2.108 | 2.109 | 2.111 | 2.112 | 2.115 | 2.116 | 2.117 | 2.118 | 2.123 | 2.135 | 2.140 | 2.145 | 2.150 | 2.151 | 2.222 | 2.223 | 3.30 | 3.110 | 3.180 | 3.202,system | true | true | true | false | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true | system | true,256 | 497 | 354 | 255 | 498 | 259 | 258 | 262 | 261 | 265 | 264 | 268 | 267 | 271 | 270 | 274 | 273 | 277 | 276 | 515 | 514 | 518 | 517 | 521 | 520 | 524 | 523 | 280 | 279 | 530 | 529 | 533 | 532 | 527 | 526 | 286 | 285 | 295 | 294 | 298 | 297 | 301 | 300 | 506 | 505 | 537 | 536 | 304 | 303 | 307 | 306 | 310 | 309 | 316 | 315 | 325 | 324 | 328 | 327,0.0.0.0 | 10.53.74.254 | 0.0.0.0/0 | 10.53.74.0/24 | 10.53.202.0/24 | 0.0.0.0 | 10.53.101.0/24 | 0.0.0.0 | 10.53.102.0/24 | 0.0.0.0 | 10.53.103.0/24 | 0.0.0.0 | 10.53.104.0/24 | 0.0.0.0 | 10.53.105.0/24 | 0.0.0.0 | 10.53.106.0/24 | 0.0.0.0 | 10.53.107.0/24 | 0.0.0.0 | 10.53.108.0/24 | 0.0.0.0 | 10.53.109.0/24 | 0.0.0.0 | 10.53.111.0/24 | 0.0.0.0 | 10.53.112.0/24 | 0.0.0.0 | 10.53.115.0/24 | 0.0.0.0 | 10.53.116.0/24 | 0.0.0.0 | 10.53.117.0/24 | 0.0.0.0 | 10.53.118.0/24 | 0.0.0.0 | 10.53.123.0/24 | 0.0.0.0 | 10.53.135.0/24 | 0.0.0.0 | 10.53.140.0/24 | 0.0.0.0 | 10.53.145.0/24 | 0.0.0.0 | 10.53.150.0/24 | 0.0.0.0 | 10.53.41.0/24 | 0.0.0.0 | 10.53.222.0/24 | 0.0.0.0 | 10.53.223.0/24 | 0.0.0.0 | 10.53.30.0/24 | 0.0.0.0 | 10.53.110.0/24 | 0.0.0.0 | 10.53.180.0/24 | 0.0.0.0 | 10.53.202.0/24,DHCP Broadcast Originator | R-10.53.74.254 | Any network | network-10.53.74.0/24 | network-10.53.202.0/24 | DHCP Broadcast Originator | network-10.53.101.0/24 | DHCP Broadcast Originator | network-10.53.102.0/24 | DHCP Broadcast Originator | network-10.53.103.0/24 | DHCP Broadcast Originator | network-10.53.104.0/24 | DHCP Broadcast Originator | network-10.53.105.0/24 | DHCP Broadcast Originator | network-10.53.106.0/24 | DHCP Broadcast Originator | network-10.53.107.0/24 | DHCP Broadcast Originator | network-10.53.108.0/24 | DHCP Broadcast Originator | network-10.53.109.0/24 | DHCP Broadcast Originator | network-10.53.111.0/24 | DHCP Broadcast Originator | network-10.53.112.0/24 | DHCP Broadcast Originator | Cairo_ IT_Test _115 | DHCP Broadcast Originator | AIC RProxy Network | DHCP Broadcast Originator | network-10.53.117.0/24 | DHCP Broadcast Originator | network-10.53.118.0/24 | DHCP Broadcast Originator | network-10.53.123.0/24 | DHCP Broadcast Originator | network-10.53.135.0/24 | DHCP Broadcast Originator | network-10.53.140.0/24 | DHCP Broadcast Originator | network-10.53.145.0/24 | DHCP Broadcast Originator | network-10.53.150.0/24 | DHCP Broadcast Originator | network-10.53.41.0/24 | DHCP Broadcast Originator | network-10.53.222.0/24 | DHCP Broadcast Originator | Server-Mgmt-B2 | DHCP Broadcast Originator | AIC-Pool | DHCP Broadcast Originator | network-10.53.110.0/24 | DHCP Broadcast Originator | network-10.53.180.0/24 | DHCP Broadcast Originator | network-10.53.202.0/24,42 | 2 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42 | 42,absolute | enable | enable | enable | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable | absolute | enable
AI_Cluster-Master-New,2 | 8,0 | 1,system | true | false | true | true | system | true,3 | 360 | 4 | 6 | 358 | 9 | 10,0.0.0.0 | 10.53.145.10 | 10.100.112.10 | 0.0.0.0/0 | 10.53.145.0/24 | 0.0.0.0 | 1.1.1.0/24,DHCP Broadcast Originator | router-10.53.145.10 | 10.100.112.10 | Any network | network-10.53.145.0/24 | DHCP Broadcast Originator | network-1.1.1.0/24,42 | 2 | 42,absolute | enable | enable | enable | enable | absolute | enable
