activate_test,db_key,disabled,engine_version,guid,name,nodeid,node_interface.auth_request_source,node_interface.automatic_default_route,node_interface.backup_heartbeat,node_interface.backup_mgt,node_interface.db_key,node_interface.domain_specific_dns_queries_source,node_interface.dynamic_ip,node_interface.igmp_mode,node_interface.name,node_interface.network_value,node_interface.nicid,node_interface.nodeid,node_interface.outgoing,node_interface.pppoa,node_interface.pppoe,node_interface.primary_heartbeat,node_interface.primary_mgt,node_interface.rank,node_interface.reverse_connection,node_interface.vrrp,node_interface.mvia_address.address
true,73431,false,version 6.10.6 #26302,{c5b65caa-adc5-43f6-a3d1-8ab6023c5cae},AI_Cluster-Master-New node 1,1,false | false,false | false,false | false,false | false,1 | 42,false | false,false | false,none | none,NDI-1-1.1.1.1 | NDI-0-10.53.145.100,1.1.1.0/24 | 10.53.145.0/24,1 | 0,1 | 1,false | true,false | false,false | false,true | false,false | true,0 | 0,false | false,false | false,1.1.1.1 | 10.53.145.100
true,73432,false,version 6.10.6 #26302,{b7f27d53-e1ac-46a1-b251-21dc9a311257},AI_Cluster-Master-New node 2,2,false | false,false | false,false | false,false | false,2 | 43,false | false,false | false,none | none,NDI-1-1.1.1.2 | NDI-0-10.53.145.101,1.1.1.0/24 | 10.53.145.0/24,1 | 0,2 | 2,false | true,false | false,false | false,true | false,false | true,0 | 0,false | false,false | false,1.1.1.2 | 10.53.145.101
