match_sources.match_source_ref.type,match_sources.match_source_ref.value,match_destinations.match_destination_ref.type,match_destinations.match_destination_ref.value,match_services.match_service_ref.type,match_services.match_service_ref.value,match_services.match_service_ref.ref_key,user_match.user.class_id,user_match.user.display_name,user_match.user.domain,user_match.user.ref,user_match.auth_service.ref,user_match.auth_service.ref_key,match_sources.match_source_ref.ref_key
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.130.0/24 | AI_Wireless | AIC SWD | alex-wireless | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126 | network-10.53.107.0/24 | network-10.53.150.0/24 | network-10.54.129.0/24,network_element,Git_Server,service | service | service | service,HTTP | HTTPS | tcp_service_443 | tcp_service_80,330 | 332,,,,,,,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,AI_Wireless | AIC SWD | alex-wireless | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126 | network-10.53.107.0/24 | network-10.53.150.0/24 | network-10.54.129.0/24,network_element,Git_Server,service | service | service | service | service | service,HTTP | HTTPS | SSH | tcp_service_22 | tcp_service_443 | tcp_service_80,330 | 332 | 380,,,,,,,
network_element,network-10.53.125.0/24,network_element,10.53.106.250,service | service,ssh | tcp_service_22,,,,,,,,
network_element | network_element | network_element,10.53.126.127 | Alexandria_IT_Admin_125 | network-10.53.125.0/24,network_element | network_element,10.54.125.0 | network-10.53.125.0/24,service | service | service | service,5900 | Remote Desktop | SSH | tcp_service_22,281 | 380,,,,,,,
network_element | network_element,10.54.125.0 | network-10.53.125.0/24,network_element | network_element,AIC-AlexVPN | AIC_Subnet,service,ANY,,,,,,,,
network_element | network_element,10.54.125.0 | network-10.53.125.0/24,network_element | network_element,AIC-AlexVPN | AIC_Subnet,service,ANY,,,,,,,,
network_element | network_element,10.54.125.0 | network-10.53.125.0/24,network_element | network_element,AIC-AlexVPN | AIC_Subnet,service,ANY,,,,,,,,
network_element | network_element,10.54.101.0 | 10.54.101.252,network_element,dns2,service,Dest. Unreachable (Port Unreachable),51,,,,,,,
network_element,ANY,network_element,ANY,service,ANY,,,,,,,,
network_element,network-10.53.125.0/24,network_element | network_element,outlook.office365.com | smtp.office365.com,service | service | service,IMAPS | IMAPS (with decryption) | SMTP Submission Service,336 | 12033 | 12005,,,,,,,
network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,network_element,network-10.53.107.0/24,service | service | service | service | service | service,HTTP | HTTPS | SSH | tcp_service_22 | tcp_service_443 | tcp_service_80,330 | 332 | 380,,,,,,,
network_element,network-10.53.125.0/24,network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.102.21 | 10.53.106.227 | 10.53.106.241 | 10.53.106.250 | 10.53.222.2 | 10.54.101.252 | 10.54.101.253 | 10.54.135.0/24 | 10.54.200.0/24 | 10.54.230.0 | Active Connect Client | AD1 | AD2 | AIC_Cluster1_server | Alexandria_R&D_Team_126    | Cairo_R&D_Team_126- | dns1 | dns2 | host-10.53.127.11 | ISE_mcit4 | Lab2 | network-10.53.101.0/24 | network-10.53.102.0/24 | network-10.53.104.0/24 | network-10.53.105.0/24 | network-10.53.106.0/24 | network-10.53.107.0/24 | network-10.53.123.0/24 | network-10.53.145.0/24 | network-10.53.150.0/24 | Printer_Vlan | Proxy Agent 1 | Proxy Agent 2 | users | Windows Update Server,service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service,161 | 2222 | 3000 | 3000-10000 | 30000-32768 | 54323 | 5900 | 5900-6923 | 6100 | 8006 | 8080 | 8081 | 8088 | 8089 | 8445 | 8834 | 9000 | 9090 | 9101 | DNS (TCP) | DNS (UDP) | Echo Reply (Any Code) | Echo Reply (No Code) | Echo Request (Any Code) | Echo Request (No Code) | HTTP | HTTP proxy | HTTPS | JetDirect | Microsoft-DS | NetBIOS Datagram | NetBIOS-NS (UDP) | NetBIOS-SSN | NFS (TCP) | NFS (UDP) | NTP (TCP) | NTP (UDP) | Ping | Remote Desktop | SNMP (TCP) | Squid HTTP proxy | SSH | Sun RPC (TCP) | Sun RPC (UDP) | tcp_service_22 | tcp_service_8000,321 | 414 | 17 | 18 | 19 | 20 | 330 | 10028 | 332 | 12058 | 351 | 420 | 422 | 356 | 12046 | 423 | 362 | 425 | 453 | 281 | 378 | 12018 | 380 | 382 | 437,,,,,,,
