match_source_ref.type,match_source_ref.value,match_source_ref.ref_key
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.54.135.0/24 | 10.54.200.0/24 | AI-lab | AIC-DEV-RANGE | AIC-HPC-RANGE | AIC-IT-RANGE | Alex-BMC | Alex-Kubernetes | Alex_VM_Internal | Cairo_R&D_Team_126- | Hypervisors_102 | network-10.53.106.0/24 | network-10.53.127.0/24 | network-10.53.128.0/24 | network-10.53.150.0/24 | network-10.53.222.0/24 | users,
network_element | network_element,dns1 | dns2,
network_element | network_element,AD1 | AD2,
network_element | network_element,10.53.106.240 | SW Debug VM,
network_element,network-10.53.123.0/24,
network_element | network_element,dns1 | dns2,
network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB_Server | Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_DB_Server | Cairo_EPM_Stg_Web_Server,
network_element,HR services_H,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.120.0/24 | 10.53.130.0/24 | 10.53.222.0/24 | 10.54.135.0/24 | 10.54.200.0/24 | AI_Wireless | alex-wireless | Cairo_R&D_Team_126 | Git_Server | host-10.53.106.250 | host-10.53.230.11 | hpc cluster 2 login node | hpc cluster 4 login node | network-10.53.125.0/24 | users,
network_element | network_element | network_element | network_element | network_element | network_element,host-10.53.102.53 | vCenter Virtualization Manager | VMware Hypervisor 1 | VMware Hypervisor 2 | VMware Hypervisor 3 | VMware Hypervisor 4,
network_element | network_element | network_element | network_element | network_element,10.53.106.244 | 10.53.106.247 | 10.53.106.248 | Docker Registry Server | IT Assets Inventory,
network_element | network_element,dns1 | dns2,
network_element | network_element | network_element,network-10.53.105.0/24 | network-10.53.106.0/24 | network-10.53.107.0/24,
network_element,network-10.53.104.0/24,
network_element | network_element,network-10.53.101.0/24 | network-10.53.102.0/24,
network_element | network_element,AI_Wireless | Cairo_R&D_Team_126,
network_element,Alexandria_R&D_Team_126   ,
network_element,Alexandria_R&D_Team_126   ,
network_element,10.53.106.250,
network_element | network_element | network_element,10.53.106.250 | 10.54.230.5 | Explatory VM,
network_element | network_element,Alexandria_IT_Admin_125 | network-10.53.125.0/24,
network_element,Dell Storage management,
network_element | network_element | network_element | network_element | network_element,vCenter Virtualization Manager | VMware Hypervisor 1 | VMware Hypervisor 2 | VMware Hypervisor 3 | VMware Hypervisor 4,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.106.242 | 10.58.120.0/24 | 10.58.126.0/24 | 10.58.127.0/24 | 10.58.128.0 | 10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | network-10.53.101.0/24,
network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB_Server | Cairo_EPM_Prd_Web_Server | Cairo_EPM_Stg_DB_Server | Cairo_EPM_Stg_Web_Server,
network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,
network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,
network_element | network_element | network_element,Kubernetes_Master 1   | Kubernetes_Master 2 | Kubernetes_Master 3,
network_element | network_element | network_element | network_element | network_element | network_element | network_element,AIC-CAI-IT | Cairo_EPM_Prd_DB | Cairo_EPM_Prd_Web | Cairo_EPM_Stg_DB | Cairo_EPM_Stg_Web | network-10.53.123.0/24 | network-10.53.135.0/24,
network_element | network_element | network_element,10.210.225.0/255.255.255.0 | 10.210.227.0/255.255.255.0 | Kaspersky-server,
network_element | network_element | network_element | network_element | network_element,AI-lab | Cairo_R&D_Team_126- | network-10.53.125.0/24 | users | wireless_subnet,
network_element,Kaspersky-server,
network_element,AIC-Pool,
