enabled,max_packet_size,trusted_circuit,dhcp_server_list.class_id,dhcp_server_list.ref
true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary
true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary
true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary
true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary
true,576,false,13 | 13,AIC-DHCP | AIC_DHCP_secondary
