valid_fw_ref,match_part.match_sources.match_source_ref.type,match_part.match_sources.match_source_ref.value,match_part.match_destinations.match_destination_ref.type,match_part.match_destinations.match_destination_ref.value,match_part.match_services.match_service_ref.ref_key,match_part.match_services.match_service_ref.type,match_part.match_services.match_service_ref.value,action.type,option.log_policy.closing_mode,option.log_policy.log_level,option.log_policy.mss_enforce,option.nat_src.dynamic_nat.generate_arp,option.nat_src.dynamic_nat.packet_description.first_port,option.nat_src.dynamic_nat.packet_description.last_port,option.nat_src.dynamic_nat.packet_description.ne_ref
ANY,network_element,10.53.105.21,network_element,Not Internal,330 | 332,service | service,HTTP | HTTPS,allow,true,undefined,false,true,1024,65535,AIC-100M-ML
ANY,network_element,AIC_Subnet,network_element,network-41.33.212.176/29,,service,demo-ports,allow,true,undefined,false,true,1024,65535,41.33.212.178
