channel_port,db_key,forwarding_use_internal_credentials,inactive,log_disk_space_handling_mode,name,netflow_collector.data_context,netflow_collector.data_context_key,netflow_collector.netflow_collector_host_ref,netflow_collector.netflow_collector_port,netflow_collector.netflow_collector_service,netflow_collector.netflow_collector_version,multi_contact_mvia.address,secondary_log_server_ref.class_id,secondary_log_server_ref.value
3020,11,true,false,stop_receiving,LogServer 10.53.145.11,All Log Data | All Log Data | All Log Data | FW,2 | 2 | 2 | 3,SMA1-LR | SMA1-LR | SIEM_Collector02 | firemon,514 | 2055 | 514 | 2055,udp | udp | udp | udp,cef | ipfix | leef | cef,10.53.145.11,7,LogServer-10.53.145.12
3020,33594,true,false,stop_receiving,LogServer-10.53.145.12,All Log Data | All Log Data | All Log Data | FW,2 | 2 | 2 | 3,SMA1-LR | SMA1-LR | SIEM_Collector01 | firemon,514 | 2055 | 514 | 514,udp | udp | udp | udp,cef | ipfix | leef | cef,10.53.145.12,7,LogServer 10.53.145.11
