name,interface_rn_level.db_key,interface_rn_level.dyn_routing_nic_id,interface_rn_level.exclude_from_ip_counting,interface_rn_level.nicid,interface_rn_level.network_rn_level.db_key,interface_rn_level.network_rn_level.ipaddress,interface_rn_level.network_rn_level.ne_ref
AIC-Context-New,183 | 185 | 187 | 189 | 191 | 193 | 195 | 197 | 364 | 366 | 368 | 370 | 199 | 374 | 376 | 372 | 203 | 209 | 211 | 213 | 358 | 379 | 215 | 217 | 219 | 223 | 229 | 231,131146 | 131173 | 131174 | 131175 | 131176 | 131177 | 131178 | 131179 | 131180 | 131181 | 131183 | 131184 | 131187 | 131188 | 131189 | 131190 | 131195 | 131207 | 131212 | 131217 | 131222 | 131223 | 131294 | 131295 | 196638 | 196718 | 196788 | 196810,false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false | false,2.74 | 2.101 | 2.102 | 2.103 | 2.104 | 2.105 | 2.106 | 2.107 | 2.108 | 2.109 | 2.111 | 2.112 | 2.115 | 2.116 | 2.117 | 2.118 | 2.123 | 2.135 | 2.140 | 2.145 | 2.150 | 2.151 | 2.222 | 2.223 | 3.30 | 3.110 | 3.180 | 3.202,184 | 186 | 188 | 190 | 192 | 194 | 196 | 198 | 365 | 367 | 369 | 371 | 200 | 375 | 377 | 373 | 204 | 210 | 212 | 214 | 359 | 380 | 216 | 218 | 220 | 224 | 230 | 232,10.53.74.0/24 | 10.53.101.0/24 | 10.53.102.0/24 | 10.53.103.0/24 | 10.53.104.0/24 | 10.53.105.0/24 | 10.53.106.0/24 | 10.53.107.0/24 | 10.53.108.0/24 | 10.53.109.0/24 | 10.53.111.0/24 | 10.53.112.0/24 | 10.53.115.0/24 | 10.53.116.0/24 | 10.53.117.0/24 | 10.53.118.0/24 | 10.53.123.0/24 | 10.53.135.0/24 | 10.53.140.0/24 | 10.53.145.0/24 | 10.53.150.0/24 | 10.53.41.0/24 | 10.53.222.0/24 | 10.53.223.0/24 | 10.53.30.0/24 | 10.53.110.0/24 | 10.53.180.0/24 | 10.53.202.0/24,network-10.53.74.0/24 | network-10.53.101.0/24 | network-10.53.102.0/24 | network-10.53.103.0/24 | network-10.53.104.0/24 | network-10.53.105.0/24 | network-10.53.106.0/24 | network-10.53.107.0/24 | network-10.53.108.0/24 | network-10.53.109.0/24 | network-10.53.111.0/24 | network-10.53.112.0/24 | Cairo_ IT_Test _115 | AIC RProxy Network | network-10.53.117.0/24 | network-10.53.118.0/24 | network-10.53.123.0/24 | network-10.53.135.0/24 | network-10.53.140.0/24 | network-10.53.145.0/24 | network-10.53.150.0/24 | network-10.53.41.0/24 | network-10.53.222.0/24 | Server-Mgmt-B2 | AIC-Pool | network-10.53.110.0/24 | network-10.53.180.0/24 | network-10.53.202.0/24
AI_Cluster-Master-New,2 | 6,0 | 65536,false | false,0 | 1,253 | 7,10.53.145.0/24 | 1.1.1.0/24,network-10.53.145.0/24 | network-1.1.1.0/24
