db_key,min_dst_port,name,max_dst_port,max_src_port,min_src_port,category_ref.ref,comment,protocol_agent_ref,protocol_agent_ref_key,pa_value.param_description,pa_value.param_ref_key,pa_value.value
7443,9000,9000,,,,,,,,,,
7690,9001,9001-9010,9010,,,,,,,,,
7784,0,"9021,",9021,,,,,,,,,
7783,0,9022,9022,,,,9022,,,,,
7672,9080,9080-9082,9082,,,,,,,,,
7445,9090,9090,,,,,,,,,,
7721,9100,9100,9100,,,,,,,,,
7446,9101,9101,,,,,,,,,,
7736,9153,9153,9153,,,,,,,,,
7735,9182,9182,9182,,,,,,,,,
7447,9443,9443,9443,,,,,,,,,
7448,9481,9481,,,,Elements created by Migration Tool,,,,,,
7449,9876,9876,,,,,9876,,,,,
7673,9888,9888,9888,,,,,,,,,
7667,9990,9990,,,,,,,,,,
7450,20,FTP-Control,,,,Elements created by Migration Tool,,,,,,
7456,445,SMB-TCP,445,,,,,,,,,
7458,8084,TCP-8084,8084,0,0,,,,,,,
7459,8905,TCP-8905,8905,0,0,,,,,,,
7722,139,TCP_139,139,,,,,,,,,
7720,161,TCP_161,161,,,,,,,,,
7670,14821,range-14821,14824,,,,,,,,,
7714,22,ssh,22,22,22,,,SSH,9200,Make protocol validation | Bytes allowed from client before Server ID | Bytes allowed from server before Client ID | Bytes allowed from server before Server ID,1 | 2 | 3 | 4,true | 0 | 0 | 0
7464,111,tcp_service_111,,,,Elements created by Migration Tool,,,,,,
7465,123,tcp_service_123,,,,Elements created by Migration Tool,,,,,,
7466,135,tcp_service_135,,,,Elements created by Migration Tool,,,,,,
7467,143,tcp_service_143,,,,Elements created by Migration Tool,,,,,,
7468,1433,tcp_service_1433,,,,Elements created by Migration Tool,,,,,,
7473,161,tcp_service_161_162,162,,,Elements created by Migration Tool,,,,,,
7478,2049,tcp_service_2049,,,,Elements created by Migration Tool,,,,,,
7479,22,tcp_service_22,,,,Elements created by Migration Tool,,,,,,
7481,25,tcp_service_25,,,,Elements created by Migration Tool,,,,,,
7483,443,tcp_service_443,,,,Elements created by Migration Tool,,,,,,
7484,5060,tcp_service_5060,,,,Elements created by Migration Tool,,,,,,
7485,5222,tcp_service_5222,,,,Elements created by Migration Tool,,,,,,
7486,5223,tcp_service_5223,,,,Elements created by Migration Tool,,,,,,
7487,5228,tcp_service_5228,,,,Elements created by Migration Tool,,,,,,
7488,53,tcp_service_53,,,,Elements created by Migration Tool,,,,,,
7489,554,tcp_service_554,,,,Elements created by Migration Tool,,,,,,
7491,7000,tcp_service_7000_7009,7009,,,Elements created by Migration Tool,,,,,,
7492,7070,tcp_service_7070,,,,Elements created by Migration Tool,,,,,,
7493,80,tcp_service_80,,,,Elements created by Migration Tool,,,,,,
7494,8000,tcp_service_8000,,,,Elements created by Migration Tool,,,,,,
7495,8080,tcp_service_8080,,,,Elements created by Migration Tool,,,,,,
7496,8554,tcp_service_8554,,,,Elements created by Migration Tool,,,,,,
7497,88,tcp_service_88,,,,Elements created by Migration Tool,,,,,,
7498,9481,tcp_service_9481,,,,Elements created by Migration Tool,,,,,,
7499,993,tcp_service_993,,,,Elements created by Migration Tool,,,,,,
