alert_server_ref,announcement_enabled,db_key,db_replication,forwarding_use_internal_credentials,log_disk_space_handling_mode,name,radius_method,tacacs_method,updates_proxy_authentication_enabled,updates_proxy_enabled,updates_proxy_port,web_app.eca_enabled,web_app.enabled,web_app.log_access,web_app.name,web_app.port,web_app.session_timeout,web_app.ssl_session_id,web_app.standalone_enabled,web_app.use_internal_credentials,web_app.tls_cipher_suites,web_app.tls_cipher_suites_key,web_app.tls_credentials,multi_contact_mvia.address
LogServer 10.53.145.11,false,10,true,true,stop_receiving,Management Server,eap-md5,mschap,false,false,0,false | false | false,false | false | true,false | false | false,smc_api | smc_downloads | webswing,8082 | 8080 | 8085,300 | 300 | 300,false | false | true,false | false | false,false | false | false,AES GCM Cryptographic Algorithms,3,MCIT-FW,10.53.145.11
LogServer-10.53.145.12,false,33593,true,true,stop_receiving,Management Server-10.53.145.12,eap-md5,mschap,false,false,0,false | false | false,false | false | true,false | false | false,smc_api | smc_downloads | webswing,8082 | 8080 | 8085,300 | 300 | 300,false | false | true,false | false | false,false | false | false,AES GCM Cryptographic Algorithms,3,MCIT-FW,10.53.145.12
